ano,mes,focos,variacao_%
2020,1,327,
2020,2,129,-60.55045871559632
2020,3,213,65.11627906976744
2020,4,348,63.38028169014085
2020,5,407,16.954022988505745
2020,6,733,80.0982800982801
2020,7,3029,313.2332878581173
2020,8,11716,286.79432155827004
2020,9,11734,0.15363605326050855
2020,10,8652,-26.265553093574223
2020,11,3337,-61.43088303282478
2020,12,2407,-27.869343721905903
2021,1,304,-87.37017033651848
2021,2,404,32.89473684210527
2021,3,121,-70.04950495049505
2021,4,286,136.36363636363637
2021,5,473,65.38461538461537
2021,6,541,14.376321353065546
2021,7,1971,264.3253234750462
2021,8,9073,360.3247082699138
2021,9,4658,-48.66086189793894
2021,10,4596,-1.3310433662516052
2021,11,4188,-8.87728459530026
2021,12,866,-79.32187201528176
