ano,mes,focos,variacao_%
2020,1,5,
2020,2,5,0.0
2020,3,3,-40.0
2020,5,1,-66.66666666666667
2020,6,21,2000.0
2020,7,83,295.23809523809524
2020,8,70,-15.662650602409634
2020,9,69,-1.4285714285714235
2020,10,218,215.94202898550722
2020,11,50,-77.06422018348624
2020,12,87,74.0
2021,1,17,-80.45977011494253
2021,2,1,-94.11764705882352
2021,3,2,100.0
2021,4,1,-50.0
2021,5,8,700.0
2021,6,18,125.0
2021,7,54,200.0
2021,8,66,22.222222222222232
2021,9,51,-22.72727272727273
2021,10,69,35.29411764705883
2021,11,50,-27.536231884057973
2021,12,40,-19.999999999999996
2022,1,3,-92.5
2022,3,2,-33.333333333333336
2022,5,1,-50.0
2022,6,18,1700.0
2022,7,42,133.33333333333334
2022,8,68,61.904761904761905
2022,9,104,52.941176470588225
2022,10,93,-10.576923076923073
2022,11,64,-31.182795698924725
2022,12,33,-48.4375
2023,1,6,-81.81818181818181
2023,2,3,-50.0
2023,3,2,-33.333333333333336
2023,4,1,-50.0
2023,5,6,500.0
2023,6,39,550.0
2023,7,80,105.12820512820511
2023,8,110,37.5
2023,9,293,166.36363636363635
2023,10,416,41.97952218430034
2023,11,192,-53.84615384615385
2023,12,101,-47.395833333333336
2024,1,9,-91.0891089108911
2024,2,11,22.222222222222232
2024,3,5,-54.54545454545454
2024,5,1,-80.0
2024,6,9,800.0
2024,7,30,233.33333333333334
2024,8,69,129.99999999999997
2024,9,94,36.23188405797102
2024,10,156,65.95744680851064
2024,11,243,55.769230769230774
2024,12,81,-66.66666666666667
